;text;gold;prediction;probability
671;#Celebrities Bekah Martinez Is Pregnant! The Bachelor Star Expecting First Child with Boyfriend Grayston: Bekah Martinez has a whole new reality — she is going to be a mom! The Bachelor contestant, 23, .. via URL URL URL;0;0;[0.21130371 0.1116333 ]
672;#GreatAwakening #QAnon #PatriotsUnited #WWG1WGA #AreYouAwake  WHEN YOU ARE AWAKE YOU SEE CLEARLY ❤️🧡💛💚  Check out this video URL URL;0;0;[ 0.60302734 -0.296875  ]
673;#Florence looks like she is getting ready to explode. Notice the eye starting to reappear. URL;0;0;[ 0.31591797 -0.08453369]
674;Alex Jones be smokin be dicks out here but mans really got supporters out here 😂;0;1;[-1.39160156  1.24414062]
675;#bbnaija when we told u she is a child of grace we meant it we are busy no time to famz anybody #teamceec URL;0;0;[0.28881836 0.10845947]
676;#ChristineBlaseyFord was grinding #Kavanaugh at a party almost 40yrs ago.....You gotta love the age, of this ridiculous #MeToo movement   Just swear #Kavanaugh in already and get this over with, before #liberals have an anxiety attack like 11/8/16 URL;1;0;[ 0.4387207  -0.16540527]
677;#ChooseCruz  let CA and NY  have the LIBERALS  #DontCAmyTEXAS URL;0;0;[ 0.82617188 -0.5546875 ]
678;*109. Celine_SwittinS Follback Erza_Jullian #OpenfolbackCeline_SwittinS;0;0;[ 0.69726562 -0.57958984]
679;#CoryBooker is not a hero, he is an American traitor and should be treated as such. Arrest, prosecute, and  carry out sentence. #KavanaughConfirmation URL via @USER;1;1;[-1.12402344  1.05078125]
680;#Conservatives thanks to Tory doctrinaire policies we are all going back in time and losing hard one benefits and prosperity. Go forward with our EU partners URL;0;0;[ 1.81445312 -1.13378906]
681;100 Round Goon Bitch Is You Kiddin Me🤣;1;0;[ 0.26293945 -0.21496582]
682;#HurricaneFlorence is producing up to 40in of RAIN. Please be safe. URL;0;0;[ 0.67431641 -0.30786133]
683;@USER @USER @USER Scott Gottlieb doesn’t know what’s an opiod and what’s not. He’s definitely not an expert on anything. However he is a expert at reading bank statements and counting money.;0;1;[0.03448486 0.21557617]
684;Angels now have 6 runs. Five of them have come courtesy Mike Trout homers. Trout connects on a 3-2 pitch with runners on second and third;0;0;[ 1.00488281 -0.53125   ]
685;#California leads the way in gun safety. URL;0;0;[ 1.23632812 -0.83837891]
686;#CommunistNewsNetWork's rented lips @USER why are you never ever seen protesting and demanding Gun Control on the streets of Chicago?    #LiberalsHateAmerica URL;0;1;[-0.859375    0.80029297]
687;@USER   This blow hard was going to push this for his votes. Bad enough his names on it, it will always be the Tappanzee  Bridge to us NYrs who had no say in it. I hope they investigate why this was going to be opened and risk lives and no one knew it wasn't ready.💩 URL;0;0;[ 0.57324219 -0.4152832 ]
688;#PatriotsUnited #PatriotsEffectingChange #Patriot #MAGA #Trump #TrumpsSuperElites #thestorm #GreatAwakeningWorldwide #QANON #WWG1WGA   Law abiding citizens. We have a right to defend ourselves. Fight fire 🔥 with fire 🔥  Antifa article shows us how. Read 👇 URL;0;0;[ 1.08886719 -0.74023438]
689;#SundayShoutOuts to @USER because.... Because she is amazing and has my boundless support and endless appreciation for her support in return, it's just a loop of love and respect… URL;0;0;[ 1.68164062 -1.17871094]
690;@USER #MoreBS = MORE #BARRYSOETOROBULLSHIT;1;0;[0.18041992 0.01161957]
691;#tytlive OMG how can a Latino faith based woman think that Trump is Christian.  Wow, he is the poster child for immorality and hating Latinos;1;1;[-0.75683594  0.79785156]
692;#2A. The stuff some of these people say amazes me. They do not get we already have gun control. Take a look at what happens to all the people arrested on gun charges each weekend in Chicago. Most of them are given a slap on the wrist. #NRA URL;0;0;[ 0.3515625  -0.12091064]
693;#Conservatives are always revolting URL;0;1;[0.03823853 0.2734375 ]
694;@USER @USER @USER @USER @USER @USER That's not what I said. The vast majority of US leftists support gun control. But it's not inherently a left wing policy. Many revolutionary socialists and anarchists don't support aggressive gun control because they believe the working class should be armed for self-defense.;0;1;[-0.20532227  0.20007324]
695;#Democrats and #Liberals accuse #BrettKavanaugh and have no proof!! Meanwhile they supported #TedKennedy in his run for @USER and called him the lion of the Senate and he killed a woman. #wednesdaywisdom #news #trump URL;0;1;[-0.30883789  0.37719727]
696;@USER #Google as a fellow Goggler I must say election night 2016 was one of the greatest nights of my life! Watching libs and Hillary supporters especially media still has me laughing! You alls pain and tears brought me great joy! #ThankYou;0;0;[ 0.42626953 -0.2244873 ]
697;#BESTPOTUSEVER #LOVEMYPRESIDENT #MAGA #BRILLIANT #WINNING #MASTERNEGOTIATOR @USER thank you! URL;0;0;[ 0.77636719 -0.65283203]
698;@USER #Carrey is a #pervert himself!;1;1;[-1.13085938  1.11230469]
699;#Angel_Dad: If Lawmakers Really Cared About Citizens, They Would Secure the Border URL via @USER URL;0;0;[ 1.04003906 -0.82324219]
700;An American Tail really is one of the most underrated animations ever ever ever. Fuck I cried in this scene;0;0;[ 0.70166016 -0.45385742]
701;@USER nigga are you stupid your trash dont play with him play with your bitch 😂;1;1;[-1.71191406  1.46875   ]
702;#NoOneAskMe But here's my opinion #offset keeping this beef up between #cardiB and @USER he know Cardi slow and believe everything he says.. She is his meal ticket. I just think #offset need to sit his ugly ass down.;1;1;[-1.39746094  1.32128906]
703;#ICYMI - Liberals' Favorite Myth That Obama Was a Law Professor Is Now Destroyed?! URL;1;1;[0.07806396 0.1026001 ]
704;#JoyfulGlitz#Younique#Blessed#MomLife URL;0;0;[ 0.67578125 -0.51269531]
705;#HaveYourSay: If you live in #Garston, Jane wants to hear your views on the location of a new Community Police Station. She is proposing to open a new accessible community base in the South Liverpool NHS Treatment Centre on Church Road. What do you think?  URL URL;0;0;[ 1.24511719 -0.61962891]
706;#Seek the LORD while you can find Him  Call on Him now while He is near  Isaiah 55:6  #God #waiting for you to come into His Kingdom  #JesusIsCalling to give you new #life  #repentance for #forgiveness #salvation from sin #Satan #EuropaAfricaUs #pray #TrustGod #believe;0;0;[ 1.4765625  -1.02539062]
707;#Repost @USER with get_repost ・・・ Happy 34th to the one and only Prince Harry, The Duke of Sussex. 🥂 He is such a grounded, compassionate guy, taking after his mother, and I’m… URL;0;0;[ 0.75976562 -0.42797852]
708;"@USER is as complete of a person as I've ever met. I don't know what will happen after pro football, but he can do a lot of special things in life. He is what you want a Duke football player to be, no if, ands or buts about it,"" @USER URL";0;0;[0.2722168 0.0970459]
709;#Spending. Don't speed all of your money. If you are not saving atlest 15%  of what you earn,  start today.  Look at your income and expenses, find out where you can start to cut back and get 15% you save.;0;0;[ 0.95410156 -0.44726562]
710;#Jenelle wants the world to know she is in a bikini. Oh, and to pray for NC. 😒 URL;0;0;[ 1.04394531 -0.68066406]
711;@USER To demonstrate how wholly incapable of carrying a thought to its logical conclusion she is?;1;0;[ 0.19812012 -0.02685547]
712;#UglyIsTheNewPretty 💜💜💜 Don't let ppl tell you how to look or how to be! The ultimate power is projecting yourself and laughing at the projections of others YOU ARE AN ACTOR IN THE PLAY OF LIFE ITS JUST A RIDE WHAT ARE YOU SO AFRAID OF?🤔 URL;0;0;[0.31835938 0.02282715]
713;@USER #MAGA who cares about the farm.  He had no reason to commit murder. End of story.;0;0;[ 0.77587891 -0.45874023]
714;"@USER @USER @USER @USER Go with @USER Jeans. I've been wearing Wranglers over 25 yrs now. Ever since I found Levis contributed  heavily to Gun Control Groups &amp; Gun Grabbing Politicians back in the 1990s.";0;0;[ 0.60107422 -0.21618652]
715;#FeelsGoodGirl @USER @USER  you should be proud at her she is amazing in gambit URL;0;0;[ 0.84863281 -0.35961914]
716;@USER I guess that’s where swamp ass originated;0;1;[-0.26123047  0.51660156]
717;"#MAGA #Qanon #GreatAwakening #inners #WWG1WGA #NowComesThePain #WalkAway #GoodbyeDemocrats   McCabe and Strzok Caught Destroying Evidence During Final Days at FBI; “Huber is Running a Grand Jury” URL";0;1;[-0.57226562  0.66113281]
718;#Conservatives aren’t #afraid of #AnitaHill #redux: They know #power matters more than #truth: #Republicans aren’t worried the #Kavanaugh #hearing will #backfire, because in 2018 the #facts almost don’t matter URL #news #GOP #Trump #Liars #PostTruth #SOCTUS;0;0;[ 1.83496094 -1.19726562]
719;#Brexit Deal Has Been Reached with #EU?!  Hold onto your hats!  #HardBrexit #BrexitDeal #ChequersDeal #ChuckChequers #MBGA #MEGA #MCGA #MAGA #Conservatives #Patriots #MayOut #MayMustGo URL;0;1;[-0.16430664  0.30371094]
720;*a reminder that david harcourt's 1972 classic EVERYONE WANTS TO BE FUEHRER: A HISTORY OF NATIONAL SOCIALISM IN AUSTRALIA AND NEW ZEALAND is avail as a pdf: #antifa #auspol #FCKNZS URL;0;0;[ 0.93798828 -0.390625  ]
721;@USER @USER Titty.;0;0;[ 0.24645996 -0.07263184]
722;*soc OC dom manapun, up for a plot? foto hanya penanda faceclaim. URL;0;1;[0.05886841 0.18225098]
723;#TEXAS  Wake up! A Socialist is mesmerizing the weak-minded in your state!  YOU ARE **TEXAS** FOR CRYING OUT LOUD!  Of all the places that embody the American Spirit of Individual Freedom, TEXAS IS THE STANDARD BEARER  Make a damn stand for your GREAT Senator @USER  #SaveTexas URL;0;1;[-1.36132812  1.07617188]
724;#pastramicity I'm so sad that I hadn't found Sky sooner now he is doing music which is still amazing;0;0;[ 0.72509766 -0.26000977]
725;#WCW my Zamalek.Zamo!Mapholoba!She was my first friend in Uni upto today she is still my muntu!I love you Pholobs! 8 years strong! @USER   ❤️❤️❤️ URL;0;0;[ 0.84619141 -0.3137207 ]
726;#ProudFathersWithRTG He / she is on the way cnt wait...hope God will mke it hppn.....;0;0;[ 1.08496094 -0.76757812]
727;"@USER ...and how very irrelevant.   But if they didn't find weed, they would have dug up an 8th grade picture of him wearing a hoodie and talk about what a thug"" he is.""";0;1;[-0.45117188  0.59521484]
728;#Chequers is dead. D.e.a.d. Time to move on. #SuperCanada has been offered and we should take it.  Time for the @USER to face the fact, retire Mrs May and appoint a new leader, probably @USER;0;0;[ 0.91894531 -0.57910156]
729;#Auspol Flawed though they were in many ways as individuals , Our  Labor PMs have always battled on and achieved a lot for the nation. Recently, apart from gun control, what have the LNP actually done _for_ the nation??  Go on, make a list. URL;0;0;[0.26147461 0.05957031]
730;And she has a pet??? Fucking disgusting URL;1;1;[-0.33520508  0.45141602]
731;#MAGA  BREAKING NEWS:  The DNC stole their playbook from George Costanza on Seinfeld.  Now at least we know what we're up against.  DNC Rule #1:  It's not a lie, if you believe it.  WATCH: URL;0;0;[ 0.68310547 -0.26538086]
732;"#LiberalHypocrisy #TacoBell When Liberals ask why your against illegal immigration? Taco Bell Employee: No Habla Ingles!"" URL";1;0;[ 0.54150391 -0.21728516]
733;5 years ago Antifa rapper Pavlos Fyssas surrounded by  fascists of the Golden Dawn Party in Keratsini, Athens, and stabbed to death.   Five years later WE DO NOT FORGET WE DO NOT FORGIVE  URL URL;0;1;[-0.44018555  0.58740234]
734;"#CollegeFootball  2021 6'7 285 DT/OL Gallatin, TN URL ""just turned 15 yrs old Aug 1st 2018"" ""Above average movement"" ""He is a Dog"" #SEC #PAC12 #BIG12 #BIG10 URL";0;1;[-0.10961914  0.24169922]
735;@USER @USER Then we agree. Common ground.  And I don't like the Bushes.  Particularly HW.  URL;0;0;[ 0.46362305 -0.04248047]
736;#BlackInkCrewCHI lily they don’t hate you....you Hate you. You are your own worst enemy cause you let your anger get in the way I legit feel like Shes one of the kids I Work with at my job;1;1;[-1.10253906  1.10058594]
737;#JusticeForSoniasFather  Mr Usman buzdar sb! please respond to Sonia Iqbal daughter of PTI counsellor from okara whose father was killed during elections by nawaz league killers. She is saying she will commit suicide in front of media. Where is justice?;1;0;[ 0.69433594 -0.16223145]
738;.@USER ‘Listen To The #ACLU, #Antifa, #BlackLivesMatter’ If You Want More Chicago Shootings URL via @USER  #Sessions;0;0;[ 1.0234375  -0.85498047]
739;@USER (((ruth porat))) another coincidence? these are NOT good people.  And now people like her are shapping the narrative by censoring search results 😡;0;0;[ 1.0703125  -0.65380859]
740;@USER - WORST POTUS.  EVER!;1;0;[ 0.12200928 -0.05511475]
741;#Conservatives have no genetic ability to understand #hypocrisy or #irony. Right wing ideology gets ya all twisted in knots. #onpoli  #Ontario  #PartyOfYesteryear  @USER  #FraudNation URL;1;1;[-0.34716797  0.68066406]
742;(6) he got angry with me for stating I had checked the drawer and that I don’t see why he is making the argument that it could still be my fault in this particular instance. #ohreally;0;0;[0.34008789 0.05358887]
743;#ALDUB165thWeeksary 😘 @USER @USER @USER @USER @USER @USER @USER @USER  Be thankful for what you are NOW, and keep fighting for what you want to be tomorrow.;0;0;[ 0.93701172 -0.45898438]
744;#OITNB. She is the worst public defender. Trailing her pen uner the words.;1;1;[-0.67431641  0.78222656]
745;#Trademark Attorney Daniela Paull will be in Paris next week attending the 32nd Annual @USER conference - do get in touch if you are also attending and would like to set up a meeting URL #IP;0;0;[ 1.2734375  -0.66308594]
746;#TIMETRAVELTHURSDAY #MAXDRIVETIMETRAVELTHURSDAY You Are #OnAirWithShine #NP Home with you  - @USER  On The #MaxDrive w.@USER the  #RadioENCHANTRESS;0;0;[ 1.33203125 -0.9609375 ]
747;And never regretted it .. not even during our hardest times !! URL;0;0;[ 1.02441406 -0.39990234]
748;#TheView #BothamJean I don't believe #AmyGuyger she is a lying pos! I live near a police station..I hope and pray a cop doesn't bust up in my house thinking it's his/hers and kills me..my God..we/people of color are police prey..we're always in police cross-hairs..no matter what;1;1;[-1.54492188  1.33398438]
749;#Antifa, September 22: Stop the fascist NVU in #Amsterdam! URL;1;0;[ 0.38452148 -0.14221191]
750;#BecauseOfTories we have the lowest youth unemployment since records began 👏🏼  URL;0;0;[ 1.04882812 -0.64453125]
751;And that’s why you were at NYFW cause your such a class act.. getcho wack ass outta here URL;1;1;[-1.71289062  1.5       ]
752;#MAGA #Kavanaugh #DrainTheDeepState @USER   I'd like to see @USER interviewed again. In his book ALL OUT WAR he laid out a lot that is happening today. ✓DC Secret Resistance Society ✓ANTIFA ✓ A White House meeting. Be interesting to hear him 2 yrs after Bk. URL;0;0;[ 0.68847656 -0.33300781]
753;#SandraOh is dressed like the queen she is tonight! We salute you, you Canadian Goddess! Let's hope you win for #KillingEve. #EmmyAwards URL;0;1;[-0.52441406  0.57861328]
754;@USER WWE considers Raw the bigger show and having Ronda later in the PPV shows she is a bigger nane;0;1;[-0.37011719  0.53271484]
755;#GreatestThingsAboutThe90s liberals weren’t unhinged;1;0;[ 0.76171875 -0.56982422]
756;#StayOnYourPath #HealthQuote If you are wishing to loose fat, get back your wellbeing and slow down or reverse the aging process then check this super powerful natural method URL URL;0;0;[ 1.03808594 -0.55712891]
757;#SomethingIsAboutToHappen And here goes his bottle on the floor, with water dripping from it.  She just snapped as he was trying to cool her down. She is pissed at something for sure.  Stay tuned.;0;1;[-0.27490234  0.19592285]
758;#FakeNews like @USER and @USER will gloss over this today thanks to the #ChristineBlaseyFord circus act. #ConfirmJudgeKavanaughNow so we can get back to triggering liberals by talking about @USER ‘s success. 🙌🏻 URL;0;0;[ 0.76123047 -0.50488281]
759;"#Capitalism may be undermined by the displacement of menial laborers by #AI   should conservatives therefore inoculate themselves against knee-jerk reactionism against the notion of the living wage""?  #economics #marxism #marx #robotics #communism #socialism #socialismkills""";0;0;[ 0.77783203 -0.43847656]
760;#California Tries New Tack on #Gun #Violence : #Bullet #control - The New York Times #activist ⁦@USER ⁦@USER ⁦@USER ⁦@USER ⁦@USER  URL;0;0;[ 1.83007812 -1.34472656]
761;#eminem he could've gone harder but he didn't have to reason  why he is the RapGod he is one of the best lyricist in the game. Lot of people talk smack about him because they will never be him.  @USER URL;0;1;[0.07897949 0.21325684]
762;#Conservatives We mus pray for liberals. They trooly kno knot watt they do. I was brot up socialist democrat, by my wonderful, but, ignorant parents. I served inda military. I learnd I can serve Christ, too. Eye reel -eyesed CONSERVATIVISM was more closely aligned w God.;1;1;[-0.75244141  0.85009766]
763;#deplorabledregofsociety says she is joe Biden’s girlfriend. #lol #maga #redtidalwave onward #dregs URL;0;1;[-0.33154297  0.69970703]
764;#disarmthem #antifa Please NO ONE be stupid enough to do this. Most of us DO NOT open carry, most of us carry concealed. Anyone stupid enough to do this, that is considered an act of aggression and you will be shot We also carry more than one weapon. We shoot to kill, not maim.;1;1;[-0.81396484  0.69873047]
765;"@USER * Puerto Rico is destroyed; more than 3,000 die * Trump visits, and throws paper rolls at people * 11 months later, Puerto Rico is still waiting for help * Trump says everything is fine, and his visit was a great success  🤔";1;0;[ 0.88134766 -0.50244141]
766;#Beto O'Rourke talks gun control at Houston campaign events URL via @USER;0;0;[ 1.06542969 -0.66308594]
767;All these sick ass ppl from school gave me something and now I have to chug down this nasty drink so it can go away🙃;1;1;[-1.70507812  1.48242188]
768;Anyone want to bet it costs more than that $50k election referendum? URL;0;0;[ 1.10351562 -0.73486328]
769;#Conservatives are going to make hay out of #Trudeau’s answer but the truth is there’s criminals everywhere and people who will commit heinous acts of violence. Whether they’re from Syria and have brownskin or are white Canadian born it’s tragic all around. URL;0;1;[-0.46704102  0.56396484]
770;..While reading this, I feel like I am hearing Cardi B's voice rapping.😂 URL;0;0;[ 0.44726562 -0.44824219]
771;#Conservatives are #dumberthandogshit is the central point of my tweet;1;0;[ 0.44116211 -0.25292969]
772;#Season2 #scary Er while we are on the subject do you condemn Antifa and those who take Soros money? URL;0;1;[-0.77587891  0.76416016]
773;#Charlotte could see anywhere from 6 to 10” of rainfall from #HurricaneFlorence (#FlorenceNC).   Florence is NOTHING to mess around with, she is a very powerful and life-threatening major hurricane, bringing a lot... URL;0;0;[ 0.65917969 -0.29345703]
774;@USER #Rosie makes me nauseous!🤮 URL;1;1;[-0.12103271  0.33129883]
775;#FemiNazis are Liberals so #MeToo only counts when they blame a non-Liberal man. #Bizarro  #KAG2018 ❤️🇺🇸 URL;1;1;[-0.28540039  0.56445312]
776;#Conservatives Don't like #Liberals, Because The Definition of Liberty is Different for both, For the #Conservatives Freedom means The #Freedom to #Obstruct #Impede and #Prevent #Progress in #HumanRights #CivilRights and #Society in General. To the #Liberals Freedom comes with;0;0;[ 0.40795898 -0.21716309]
777;@USER Watch ielts liz .. she is amazing;0;0;[ 0.93652344 -0.58398438]
778;#BREXIT deal HAS been reached - and will be unveiled at special summit in NOVEMBER, Has @USER sold out the #UK to the eu??? She better have not or the @USER are finished!! @USER URL;1;0;[ 1.09667969 -0.43286133]
779;#BlackEyedPeas Tackle Gun Control, Social Justice on New Song ‘Big Love’ URL URL;0;0;[ 0.37963867 -0.26049805]
780;@USER #Google appears to be a completely testosterone-free work environment.  #SoyBoys  #Fairyland  #HurricaneFlorence;0;0;[ 0.32592773 -0.09863281]
781;#WednesdayMotivation when you are a #startup #Entrepreneur | #Boss and you and you want to salute all the other start-up Entrepreneurs doing their thing. Especially ones who lack the true insight in doing tasks that need to be done because of the law URL;0;0;[ 1.171875   -0.73779297]
782;#crazyredhead in very #angry at the #orange #cheeto  Who claims to be our #president .  She will never accept it.  Denying all the lives lost in Puerto Rico? He is a #monster #… URL;1;1;[-0.80664062  0.74267578]
783;@USER @USER Bull crap. You know she doesn't care.  She is trying to get attention for her Presidential run.  Do you see any other Senator giving nonsense?  Nope.;0;1;[-0.8359375   0.90429688]
784;#Congratulations Erika Ikizake who won a 7-Day MARTA Pass courtesy of MARTA and Campus Services! Keep following us for more prizes. #Staytuned #TheStateWay #GoPanthers  @USER @USER URL;0;0;[ 0.95214844 -0.41088867]
785;#HurricanceFlorence God bless President Donald J Trump . Thank you for your service you are a saint.  The haters are going to hate but keep up the great work.;0;0;[ 1.31152344 -0.87353516]
786;#EuropaLeague Song the EU, cash your remaining chips in and p*ss off 👍 You've played all your cards and liberals in the U.S too.  Brexiteers and Trump takes it all so be nice eh and life'll be better for everyone.  URL;1;1;[-1.06640625  1.08203125]
787;69. he managed it... URL;0;0;[ 0.47802734 -0.15625   ]
788;@USER   God help us all;0;0;[ 0.93212891 -0.80126953]
789;@USER Hillary Clinton talking about gun control. I'm sure this thread will be full of well-reasoned and data driven responses.    Oh.  Well.  Maybe not.;0;0;[ 0.65917969 -0.42358398]
790;#Democrat last ditch effort to STOP #KavanaughConfirmation and to smear his good Name #Liberals trying to protect Abortions😢 #Boycott36 URL;0;0;[ 1.421875   -0.96044922]
791;$1500 for a phone. You all are fucking dumb.;1;1;[-1.51074219  1.25976562]
792;#KendallJenner looks amazing!!! Who cares if she is nude! Not everyone likes nudity for sexual desire. Some like it for the artistry in it. #me @USER Every woman on the planet has the same parts. She is just comfortable with hers. #YouGotThis;0;0;[ 0.79345703 -0.46435547]
793;#Scorpio's are sure to be committed partners. Keep them satisfied in bed and you are all set.;0;0;[ 0.55419922 -0.03088379]
794;#Wisdom #Wellness I will teach you the right way to build your own private, online 'traffic economy' so you are never short of prospects and sales again URL URL;0;0;[ 0.80175781 -0.37744141]
795;#8months and she is standing, talking , and climbing now ! URL;0;0;[ 0.68847656 -0.32324219]
796;#CreepyPornPresident  I WANT THIS TRENDING UNTIL HE IS OUT OF OFFICE URL;0;0;[ 0.19152832 -0.13012695]
797;#HowToGetPeopleOutOfYourHome  Tell them that you're a vampire...then threaten to eat them if they don't get their asses out.  *shrugs*  What?  Problem?;1;1;[-0.85205078  0.80712891]
798;@USER Fact: he lost the popular vote Fact: he and the GOP have gone their own way and ignored Democrats Conclusion: he never spoke for all America and he is the GOP and the GOP is Trumpism.  #MAGA #LiveWithIt;0;1;[-0.50488281  0.57421875]
799;@USER @USER @USER I'm Mexican by the way and I support the gun control already in place if it means people like you don't ever touch a gun.What you are saying has nothing to do with this.;0;0;[ 0.23962402 -0.00588226]
800;#Kavanaugh The moment #BlaseyFord is exposed as a fraud, expect a new accuser to surface. Liberals are a one trick pony. #LiberalismIsAMentalDisorder;1;1;[-1.21679688  1.14746094]
801;0-8 En Taller : S-2, M-5, BX-6 (20:59:35);0;0;[ 1.07226562 -0.70361328]
802;#HIAC: Why is it this match too with Becky vs Charlotte kinda sucky so far? They are taking shots back and forth and stumbling around like a drunk version of Final Fantasy or something.;0;0;[ 0.38476562 -0.19213867]
803;@USER Gul Bukhari is Gul Bukhari bcoz she is her own! Iron Lady! More Power to you 👊👍👌;0;1;[-0.02554321  0.15734863]
804;Aparently my computer doesn't want to operate at the moment. So I will upload the episodes  Individually.  Sorry for the inconvenience.;0;0;[ 1.24609375 -0.65771484]
805;"#ChristineBlaseyFord / Democrats condemn conservatives for having made up their minds""  while at the same time ""having made up their minds"" to condemn Kavanaugh without question AND to vote no on Kavanaugh before the hearings URL";0;0;[ 0.9296875  -0.58154297]
806;@USER I see your point but the school shootings are extremely controversial with bickering over gun control vs gun rights. Just that the Nike controversy is the current one;0;0;[ 0.72265625 -0.4128418 ]
807;#NunsProtest sad nobody supporting the “Sisters” the “mother Superior” of Christian community...is it so difficult to stand by the victim whether she is nun or ordinary victim;0;0;[ 0.57275391 -0.42651367]
808;9) Pornhub, the thoughtful people they are, are taking suggestions of more category of underserved communities and they are _____;0;0;[ 1.24609375 -0.78125   ]
809;@USER @USER I agree with you. Read the first paragraph and struggled to get past the condescension. She is a lawyer with an educated opinion. There are other lawyers with differing educated opinions.;0;0;[ 0.8515625  -0.39208984]
810;#BCOG @USER she is cool, confident, cocky, and she kicks ass!!! @USER @USER @USER URL;1;1;[-0.0604248  0.2590332]
811;#ProudFathersWithRTG bafethu i love how good y'all look with your kids, i hope you are supportive to them and their moms... Im truly inspired to be the best father once im a father (if i ever become one);0;0;[ 1.03222656 -0.58984375]
812;(P2) because Hussain a.s message  is not for only the Muslims he is for the entire  Humanity . Really great message for the entire world . URL;0;0;[ 1.4140625  -0.80712891]
813;#ChequersPlan What an absolute farce Brexit is. The conservatives have no idea at all and May is now totally discredited. Time for an election #ForTheMany;0;1;[-1.21191406  1.20019531]
814;@USER oh fuck off 😂😂;1;1;[-1.35351562  1.3125    ]
815;#LifeIsButepu when your friends dont know you are using their pics as memes on twitter... URL;0;0;[0.24841309 0.05865479]
816;#TheNunMovie was just as scary as I thought it would be 😳 Clearly the critics don't think she is terrifyingly creepy. I like how it ties in with #TheConjuring series.;0;0;[ 0.89111328 -0.55615234]
817;#BreakingNews:  #Trump issues a statement about Christine Blasey Ford.  See it now!  Visit URL #BlueWave2018 #BlueTsunami2018 #MAGA #Democrats #Liberals #SCOTUS @USER #Crypto URL;0;0;[ 0.71679688 -0.45043945]
818;#LiberalHypocrisy #criminal #democrat #evidence #ellison #liberals #Hypocrites Keith Ellison domestic violence accuser says Democratic party doesn't believe her story  URL;1;0;[ 0.57177734 -0.3137207 ]
819;#Wotd - Isaiah 58:11 “The Lord will guide you continually, giving you water when you are dry and restoring your strength. You will be like a well-watered garden, like an ever-flowing… URL;0;0;[ 0.80517578 -0.63769531]
820;"#GreatAwakening  #QAnon #Resist #ImpeachTrump #Mueller #MuellerTime  liberals who liked/retweeted my post and don't know what exculpatory"" means. lol. It's a testament to their lack of interest in details.  Thanks guys!! URL";0;0;[0.53320312 0.0087204 ]
821;"#TRUMP:  I'd be a real good witness! #JOHNDowd:  ""You are #not a good witness.  Mr. President, I'm afraid I just can't help you!""   The day following those remarks, Attorney Dowd quit!  EVERYBODY... URL";0;1;[-0.26147461  0.56152344]
822;#Repost @USER with get_repost ・・・ #MOTTO “PR IS IN YOUR CAR!” (or wherever you are) Do you aspire break into the #entertainment #industry or start your own #PR #business? Do you need… URL;0;1;[-0.0061264   0.26953125]
823;#DemocratPartyOfDomesticTerrorists #Fascist #Antifa #FemiNazi   Don't Just #WalkAway RUN! URL;1;0;[ 0.34716797 -0.15209961]
824;@USER if he is im getting turnt with the holo keef regardless;0;1;[-0.1105957   0.36035156]
825;.@USER talks about @USER #Vyvx #Cloud Connect now offering secure and reliable connectivity to @USER Direct Connect via @USER @USER  URL URL;0;0;[ 1.45996094 -0.90771484]
826;#auspol  I don't know why he is still in his job. Seriously. URL;1;0;[ 0.41650391 -0.19262695]
827;#MAGA Tell me ONE good thing #trump has done as #president. I dare you! He is the worst president in history.;1;1;[-0.53222656  0.51904297]
828;#100DaysofCode  day 10: React and Redux with @USER Montreal URL;0;0;[ 0.95166016 -0.67724609]
829;#Chequers is a violation of democracy !!  #StandUp4Brexit  @USER @USER @USER  The will of the people must be respected URL;0;0;[ 1.20703125 -0.73046875]
830;#ARSYoungjaeDay HAPPY BIRTHDAY CHOI YOUNGJAE 😭😭😭 with vocals of a god and a contagious laughter, he is the most beautiful man!!! i could never feel sad whenever i see an img of him or just a snippet of him in a video, he always brightens my day. the last img is me when i saw URL;0;0;[ 1.140625   -0.63818359]
831;? Tickets for #htafc's away match against #WatfordFC will go on sale to supporters with 270+ Priority Points on Monday 2… URL;0;0;[ 1.64941406 -0.98828125]
832;"@USER u put a privileged NFL player in ur ad for 30th anniv that has sacrificed nothing he is still rich &amp;  has his life. Tom Burnett a passenger on doom flight 93 told his wife WE CAN DO IT. He &amp; others sacrificed everything! Gave their life to save others! That is everything";0;0;[ 0.71533203 -0.24658203]
833;#ConfirmKavanugh now, stall tactics are DC cronies only recourse. No more delays.  #VoteRed to end this madness and to #MAGA;1;0;[ 0.56591797 -0.28027344]
834;@USER @USER @USER @USER Beats the hell NJ out of me lol. Dude already made the assumption that I'm antifa. He even ignored all the evidence to make that assumption.;1;1;[-0.16821289  0.59179688]
835;#StopEtchecopar? Fuck you all 🖕🖕🖕🖕🖕 Que florezcan mil Baby Etchecopar 🌻🌻🌻;1;1;[-0.703125    0.66601562]
836;#Antifa invaded a memorial in recognition of Kate Steinle in Austin, Texas, and tried to comfort him it looked like when it was struggling, but has returned to the Southern District of New York, is recused from the Michael Cohen raid, Trump has my full support. Moving on .;0;0;[ 1.70117188 -1.16210938]
837;@USER Laws are for the law abiding citizens. We have the second amendment. We don’t need more gun control. Criminals don’t care they will use guns until the end of time! Figure out how to stop them from using guns!;0;0;[ 0.38720703 -0.20739746]
